label,family,n,max_run_mean,H3_mean,motif_TATA_mean,motif_GCBOX_mean,motif_AP1_mean,motif_ETS_mean,motif_CPG_DENSE_mean,kmerPC1,kmerPC2,kmerPC3,kmerPC4,kmerPC5,kmerPC6
1,promoter_polycomb,5000,5.4708,5.388953117033242,0.0426,0.3336,0.0184,0.2722,1.3966,41.260437,-19.417648,5.178382,9.238259,0.6365732,-1.329032
2,repeat_rich,5000,6.1842,5.324141715841273,0.1784,0.368,0.0238,0.2002,1.0602,13.869575,-26.564905,1.922339,0.2757476,1.4086529,1.0942473
3,enhancer_like,5000,5.3432,5.478321935050848,0.037,0.119,0.0392,0.265,0.4974,20.350193,5.550473,3.8618016,8.561992,-2.3871658,1.77913
4,enhancer_like,5000,5.6924,5.483869921897861,0.0764,0.0854,0.0368,0.2388,0.3186,8.060627,3.6343875,2.6522043,5.7026935,0.16538171,3.830298
5,background_repressed,5000,6.2822,5.473891630517283,0.1608,0.0234,0.0264,0.1774,0.0582,-16.82908,-0.6848608,10.273187,-5.0850277,4.530615,1.8619012
6,background_repressed,5000,6.253,5.440238756216657,0.2512,0.0162,0.0298,0.1742,0.0438,-25.68252,-8.956434,4.4285126,-4.471993,0.88475174,1.430648
7,enhancer_like,5000,5.9962,5.482133734334117,0.1128,0.0354,0.0402,0.232,0.0794,-3.448148,14.474427,8.856619,-5.1078925,2.2701573,0.9633821
8,enhancer_like,5000,5.524,5.487032537425833,0.063,0.047,0.0472,0.2586,0.0896,5.641919,22.766039,3.609588,-0.9868775,-1.2111614,-0.6895343
9,enhancer_like,5000,5.5814,5.496058780869141,0.0898,0.0154,0.0746,0.2316,0.0376,-15.935298,9.600096,1.029109,2.5627565,-5.2109485,-5.96728
10,background_repressed,5000,6.1728,5.446967808089163,0.2456,0.0154,0.0716,0.1786,0.036,-27.031742,-8.080888,3.1034298,-2.320864,-2.8607528,-3.3090436
11,enhancer_like,5000,5.634,5.483638401204022,0.1256,0.0214,0.0856,0.2338,0.0418,-16.017862,6.844319,0.19803001,1.1371465,-3.1562655,-3.7991424
12,enhancer_like,5000,5.368,5.431840304426584,0.083,0.0328,0.0322,0.2136,0.0748,-6.240608,13.245774,-8.0346365,4.107646,14.119427,-2.9472191
13,background_repressed,5000,5.8662,5.401082865177912,0.2742,0.0094,0.0244,0.185,0.0228,-33.42742,-16.632654,-9.191375,-0.09555345,-0.7575262,1.1530288
14,promoter_polycomb,5000,5.25,5.304763802782347,0.0204,0.346,0.01,0.256,1.9296,63.68085,-13.916722,-4.162694,-9.932871,0.21708862,-3.2168689
15,enhancer_like,5000,5.1568,5.411538022219182,0.0206,0.1564,0.037,0.272,0.6786,39.888493,15.400569,-6.988637,-3.8881238,-2.5010333,2.8906374
16,enhancer_like,5000,5.4272,5.455899618888338,0.0862,0.0412,0.0236,0.2586,0.1138,1.1282389,15.431614,-7.407221,0.95166075,-4.1810856,2.0246797
17,background_repressed,5000,5.7218,5.45572274157397,0.1668,0.0174,0.0344,0.2256,0.0418,-14.908881,4.962248,-3.379438,-1.7819496,-0.51307786,2.839795
18,background_repressed,5000,5.8966,5.422524994999941,0.2934,0.0074,0.028,0.1706,0.0196,-34.358765,-17.655827,-5.9492044,1.1332496,-1.4536358,1.3903711
